,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,14,2,1,1,1,0
Clean,3,22,2,0,0,0
Dusty,1,1,23,0,0,1
Electrical-damage,1,1,0,11,0,0
Physical-Damage,3,3,0,0,4,0
Snow-Covered,1,3,0,0,2,16
