,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,12,2,2,2,0,1
Clean,2,24,1,0,0,0
Dusty,1,1,20,0,2,2
Electrical-damage,1,1,0,10,1,0
Physical-Damage,3,0,0,0,7,0
Snow-Covered,1,0,0,0,0,21
