,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,12,1,3,1,1,1
Clean,2,19,3,0,2,1
Dusty,2,0,23,1,0,0
Electrical-damage,1,1,1,10,0,0
Physical-Damage,2,0,0,1,7,0
Snow-Covered,0,0,0,0,1,21
