epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,elapsed_seconds
1,1.1128343237770928,1.0090450598643377,0.4358974358974359,0.2659503581542562,0.3410260681624999,0.001,13.701
2,0.9323306851916843,0.8170663352705475,0.48717948717948717,0.41502295406420026,0.46348004770558515,0.001,14.202
3,0.9069922959363019,0.7753863268428378,0.5384615384615384,0.4425654479921257,0.5007987412168151,0.001,13.944
4,0.8899854682109974,0.7499479964757577,0.5384615384615384,0.4793748621049958,0.5147070605764547,0.001,13.536
5,0.8572640048133002,0.6954931866409432,0.5982905982905983,0.5218331416985028,0.5813293465680246,0.001,13.255
6,0.8340231939598366,0.6675564831393397,0.5982905982905983,0.5394809343596406,0.5911430820685089,0.001,13.182
7,0.7799759043587579,0.8820205412359319,0.47863247863247865,0.3712962962962963,0.43252611585944917,0.001,14.681
8,0.7735787643326654,0.7473774486117892,0.5555555555555556,0.4968992876898592,0.549740931308168,0.001,16.009
9,0.7664729656996551,0.5657595085282611,0.6923076923076923,0.6231316478436674,0.6718014232686493,0.001,16.855
10,0.7347467219388043,0.7892463920462844,0.5384615384615384,0.49841047530123167,0.5604050737103958,0.001,15.06
11,0.7296808225137216,0.6011288292132891,0.5982905982905983,0.5349448808508042,0.5813172306203664,0.001,14.371
12,0.6833502455993935,0.5530626412130829,0.6153846153846154,0.6135173120222953,0.626939976884606,0.001,14.103
13,0.6386817314006664,0.6046262480254866,0.6581196581196581,0.6146370953615886,0.6533746066206378,0.001,14.47
14,0.6776399784617954,0.793597526020474,0.5982905982905983,0.49895990048059885,0.561236200999648,0.001,14.34
15,0.6900385008917914,0.6628455290427575,0.47863247863247865,0.47052669552669557,0.4968623968623968,0.001,14.144
16,0.7030882596969604,1.0218950292875624,0.4188034188034188,0.3538600288600289,0.36525141525141525,0.001,14.249
17,0.6961351959793656,0.7797047888111864,0.5897435897435898,0.515490649701176,0.5581592047179091,0.0005,14.549
18,0.6692213870860912,0.5179062634706497,0.6752136752136753,0.6271844097931054,0.6630173988033519,0.0005,14.507
19,0.6185124079386394,0.5479622963402007,0.6068376068376068,0.5727835470013192,0.5964616970874794,0.0005,14.59
20,0.6115150367772137,0.4896975004265451,0.717948717948718,0.6795354147948487,0.7123644047201206,0.0005,14.379
21,0.663222732367339,0.49094873055433613,0.6581196581196581,0.6184006469720755,0.6524218150591776,0.0005,14.299
22,0.5691978869614778,0.4396514530874725,0.7435897435897436,0.7146335082035181,0.7410154087578782,0.0005,14.248
23,0.5434999435036271,0.4982084389935192,0.7008547008547008,0.6453624208863906,0.6903902320951478,0.0005,14.365
24,0.5540621510258428,0.4637057050171062,0.7094017094017094,0.6747923985658418,0.7085507118815445,0.0005,14.013
25,0.5464792481175176,0.5069855696115738,0.6410256410256411,0.5934969291360268,0.6481333793768728,0.0005,14.193
26,0.5708633453757674,0.4686919764703156,0.6837606837606838,0.6418079130253628,0.6783691512834032,0.0005,14.272
27,0.5665865357275363,0.43521469296553195,0.7521367521367521,0.7300910545096592,0.7535663016283172,0.0005,14.061
28,0.5778070361525924,0.5314361152485905,0.6581196581196581,0.6284560964905263,0.6619602781175012,0.0005,14.219
29,0.5590022780277111,0.4315864307503415,0.7008547008547008,0.6787703856545183,0.7011429457320392,0.0005,14.174
30,0.5520922897038636,0.44766968921718436,0.7094017094017094,0.6741686117262153,0.7072580261520354,0.0005,14.397
31,0.5342185303016945,0.5088509755511569,0.6581196581196581,0.6033419741586199,0.647172199971372,0.0005,14.297
32,0.545914641574577,0.4963025144404835,0.6581196581196581,0.6268279197200766,0.6582457726248575,0.0005,14.318
33,0.5232405446193836,0.5761787921954424,0.5811965811965812,0.5604784911008011,0.6019743593990365,0.0005,14.17
34,0.5386991951200697,0.5724939125725347,0.6410256410256411,0.5666282108675771,0.6230177017524736,0.0005,14.891
35,0.5150487804854358,0.5196882554481173,0.6239316239316239,0.5797813367041158,0.617317958825959,0.00025,14.981
36,0.5150865550394411,0.4958192920073485,0.6495726495726496,0.6303284509987656,0.6636721073151675,0.00025,14.968
37,0.4917347850622954,0.42593486339618,0.717948717948718,0.6687004245624935,0.7074169837388228,0.00025,14.891
38,0.5194729787332041,0.4933697857026361,0.6752136752136753,0.6365808672369434,0.6715000686192214,0.00025,14.855
39,0.49709808473233824,0.48353744164491314,0.6752136752136753,0.63984801140022,0.6814038553115107,0.00025,14.298
40,0.5140722522029171,0.48220343582141095,0.6581196581196581,0.6112824081817582,0.6543641431606226,0.00025,14.286
41,0.4445178932613797,0.40973319813736486,0.7350427350427351,0.7107560132525932,0.7396209114350755,0.00025,13.986
42,0.47763914399676854,0.47241610721645194,0.6752136752136753,0.6541961228936019,0.6856888624395626,0.00025,14.262
