,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,13,1,3,1,0,1
Clean,5,22,0,0,0,0
Dusty,3,1,20,1,0,1
Electrical-damage,1,1,1,10,0,0
Physical-Damage,3,3,0,0,4,0
Snow-Covered,1,1,0,0,1,19
