epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,elapsed_seconds
1,1.6666209229716549,1.568475660095867,0.4017094017094017,0.2943566095740009,0.34413814848597457,0.001,14.454
2,1.4489919503529867,1.4147721355796878,0.42735042735042733,0.33021267525577874,0.37920561239526757,0.001,13.094
3,1.3991457047285858,1.1814358254783175,0.6068376068376068,0.5285000403083804,0.5864900506841166,0.001,13.172
4,1.3120121911719993,1.1413128146758447,0.5982905982905983,0.5333482290632241,0.586017026116331,0.001,13.235
5,1.2392168133347123,1.2798768857605436,0.5128205128205128,0.46370999663838536,0.4961172298374738,0.001,13.195
6,1.2131881740358141,1.2008451600360055,0.5897435897435898,0.5040315497187867,0.5672743364889228,0.001,13.248
7,1.2085387653774686,1.0019068896261036,0.6324786324786325,0.5943184930774734,0.6375617682135123,0.001,13.216
8,1.2053841899942468,1.121452694774693,0.5470085470085471,0.4839589880240287,0.5060254721501334,0.001,14.753
9,1.161345269061901,1.2950537923054817,0.5213675213675214,0.4433461619320986,0.48165343157041046,0.001,15.247
10,1.1241461488935682,1.0266790420581133,0.6666666666666666,0.6169654559277201,0.6495772796788762,0.001,14.768
11,1.0835485529016566,1.4837465958717542,0.4188034188034188,0.42561156902613995,0.4394760077355158,0.001,14.265
12,1.1103857234672263,0.9360547246586564,0.6581196581196581,0.6410078620820309,0.6591534599718742,0.001,14.146
13,1.0777693836777298,0.8666393283085946,0.6752136752136753,0.6479969737864475,0.6754305223940852,0.001,14.263
14,1.0371025641759237,0.9773473882267618,0.6324786324786325,0.618176036506345,0.6502680958216347,0.001,14.163
15,1.0445810035422995,1.1217472301079676,0.5811965811965812,0.540805630428272,0.5639451394168374,0.001,14.002
16,0.9802310555069534,0.980772635493523,0.5982905982905983,0.5551915708812261,0.5821691718243442,0.001,14.097
17,1.0473645837218672,0.9528559930304177,0.6752136752136753,0.6214281242598089,0.6668058740968087,0.001,14.699
18,1.031643040533419,0.9171149088786199,0.6581196581196581,0.6299139090664514,0.6634793387596517,0.001,14.185
19,1.0218251082632277,1.083705882740836,0.6923076923076923,0.6366224831388766,0.6816150353035599,0.001,13.257
20,0.9958775882367734,0.9041423349298983,0.7264957264957265,0.7003781093213538,0.7320148091381146,0.001,12.87
21,0.9143418722682529,1.0714730783405466,0.5982905982905983,0.5389795918367347,0.5845700331414617,0.001,13.109
22,0.9847469223870171,0.8949371441307231,0.6923076923076923,0.6171362813360963,0.6580185313551856,0.001,13.056
23,0.9496701841001157,0.9039958249299954,0.6495726495726496,0.6492333666652174,0.6790183778706016,0.001,12.844
24,0.9228805550822505,0.9747882335104494,0.7094017094017094,0.6206770953147764,0.6562611212369668,0.001,12.981
25,0.9262690283634044,0.8858167704863426,0.7008547008547008,0.6585171509989686,0.7008637207128386,0.001,13.107
26,0.9491194813339798,1.0601905385653179,0.6153846153846154,0.5761313619284635,0.6023878572670843,0.001,13.179
27,0.9065455909128542,0.9494761689605876,0.6923076923076923,0.623395147874968,0.6411893207987419,0.001,12.924
28,0.8516496834931551,0.8641721580782508,0.6581196581196581,0.6302230693265566,0.6662652396786524,0.0005,13.119
29,0.8180986528043394,0.7578190004723704,0.7435897435897436,0.6909819727263947,0.7313267305153713,0.0005,12.915
30,0.8502966470188564,1.0930436110904074,0.5384615384615384,0.5111209352588663,0.5421110605018651,0.0005,13.063
31,0.8002108225116024,0.7881028970592042,0.7692307692307693,0.7312233831878449,0.7615620876338016,0.0005,13.141
32,0.8076882684672321,0.7788046575509585,0.717948717948718,0.6981945992815558,0.7246108427267848,0.0005,13.155
33,0.8252690500683255,0.8946215958676786,0.7094017094017094,0.6418060838077245,0.6842390374793984,0.0005,12.999
34,0.7624766808969003,0.8248335579012194,0.7435897435897436,0.6993666202658574,0.7348625450110796,0.0005,13.218
35,0.7873358695595353,0.8424526794343932,0.6923076923076923,0.6404950385790208,0.678309409043558,0.0005,13.205
36,0.7979475215629295,0.7578220720219816,0.7777777777777778,0.7453903612727141,0.7762270141455663,0.0005,12.941
37,0.7915451067465323,0.7383467127115299,0.7435897435897436,0.7343163454403765,0.7536834349495847,0.0005,12.873
38,0.7586567812495761,0.7122378061469804,0.7264957264957265,0.6932820661663167,0.7283413510611487,0.0005,13.004
39,0.7588307477809765,0.8443175388707055,0.7350427350427351,0.7037299479159945,0.730487185466315,0.0005,12.997
40,0.7951290912098354,0.7848329080475701,0.7435897435897436,0.7157852162284787,0.7447593777381011,0.0005,13.252
41,0.7585913706708838,0.7151342541234106,0.7521367521367521,0.7233177038931514,0.7513677642492645,0.0005,13.11
42,0.7705732142483747,0.9542579762956016,0.6923076923076923,0.6446297943185322,0.681972523134568,0.0005,13.022
43,0.7711111527902109,0.75275273149849,0.7521367521367521,0.7543443754313319,0.7659158393941001,0.0005,13.266
44,0.7784798021669741,0.8199326602312235,0.7777777777777778,0.7553524098274749,0.7740918002537194,0.0005,13.235
45,0.7159936710640237,0.7125767065673811,0.7606837606837606,0.7353849158771225,0.7611737052413521,0.0005,13.344
46,0.7573558617521216,0.8611465402138538,0.7094017094017094,0.634970826275174,0.6838962433165331,0.0005,13.006
47,0.7618779169188605,0.8156260254546108,0.7606837606837606,0.7258943027028133,0.7550635757727956,0.0005,13.045
48,0.7168001360363431,0.8096771734392542,0.7008547008547008,0.6622984037300382,0.7010064100038176,0.0005,13.091
49,0.7191304727836891,0.8215646134991931,0.7350427350427351,0.6551215795401841,0.7042660292511218,0.0005,13.135
50,0.7169550480665984,0.8382295557321646,0.6752136752136753,0.6166251308684786,0.6583635397683893,0.0005,13.015
51,0.6669427907025373,0.7631700479576731,0.717948717948718,0.7223617525669197,0.7297314162815683,0.0005,12.946
52,0.7029681280807213,0.8536639677153693,0.7521367521367521,0.6895817953263398,0.7387446623646882,0.00025,13.005
53,0.6707849754227533,0.7499211673807894,0.7863247863247863,0.7310894336160293,0.7727411182198417,0.00025,12.92
54,0.6931469784842597,0.7109512595029978,0.7777777777777778,0.733201362032371,0.7720334762008265,0.00025,13.094
55,0.6100648751965275,0.7202714612850776,0.7692307692307693,0.7285600923505616,0.7650377699587797,0.00025,13.091
56,0.6176050587936684,0.7023378850048424,0.7777777777777778,0.7314870028048323,0.770040563322217,0.00025,13.126
57,0.6446964842301828,0.7168796084120742,0.7606837606837606,0.7347052867268501,0.7575495650068875,0.00025,13.075
58,0.6746757233584368,0.7036000711795611,0.7863247863247863,0.74636440304372,0.7770454705179562,0.00025,12.978
59,0.6227719911822567,0.7592318195563096,0.7777777777777778,0.7638608133827548,0.7864064516539988,0.00025,13.156
60,0.6557759227576079,0.7690287936701734,0.7692307692307693,0.7223927930052522,0.7584257018092323,0.00025,13.049
61,0.645617550390738,0.8309735227853824,0.7008547008547008,0.6952861952861952,0.7044443535671607,0.00025,13.282
62,0.6464896259484467,0.6872586623216287,0.7606837606837606,0.7031122882748956,0.7499077331063854,0.00025,13.188
63,0.6307002756330702,0.7116599251062442,0.7863247863247863,0.7418881680900905,0.7817487820140911,0.00025,13.133
64,0.577318818922396,0.825229124380992,0.7094017094017094,0.67307325866819,0.703729229528263,0.00025,13.317
65,0.6381078764244362,0.680726333688467,0.7692307692307693,0.7427055020773358,0.7678155793657313,0.00025,13.159
66,0.6437925104741697,0.8565975272247934,0.7264957264957265,0.6549387181571089,0.700532786356541,0.00025,13.002
67,0.6041124213624883,0.7204356797230549,0.7863247863247863,0.748122298122298,0.7795047795047795,0.000125,13.07
