epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,elapsed_seconds
1,1.683398179654722,1.6314491649978182,0.358974358974359,0.2552973141208435,0.3046668732943243,0.001,15.775
2,1.4703963032475225,1.3530373461226113,0.48717948717948717,0.4332520887142735,0.47340440449684146,0.001,13.972
3,1.4220594273673164,1.2904793553882175,0.5042735042735043,0.46411948326035013,0.5132033629247251,0.001,12.955
4,1.341046318301448,1.2815729471353383,0.5299145299145299,0.48968311637515055,0.5396116424124658,0.001,13.134
5,1.3126914262771607,1.1759949786286068,0.5641025641025641,0.4165457160180878,0.4845630177493861,0.001,14.074
6,1.2587329890992907,1.2196900579664443,0.49572649572649574,0.4530565152374568,0.505932024111264,0.001,13.263
7,1.25753183276565,1.0388710213522625,0.6239316239316239,0.5526184832907521,0.6196328630071358,0.001,13.379
8,1.25197669311806,1.0728869631759121,0.6324786324786325,0.6015038348371681,0.6298957854513411,0.001,13.253
9,1.2242622163560655,1.1117766419282327,0.5897435897435898,0.511041411426094,0.5634698792459025,0.001,13.47
10,1.1897149651138872,1.0761428098393302,0.6153846153846154,0.5161324066879622,0.5684688140813497,0.001,13.295
11,1.143582327277572,1.4364227402923453,0.4188034188034188,0.4057522332476961,0.44562378536970193,0.001,13.024
12,1.1304222296785424,1.0041663565187373,0.7008547008547008,0.646441306367777,0.6870710078666338,0.001,14.66
13,1.1196356808697736,0.9813563405957997,0.6666666666666666,0.5895061728395061,0.6513453624564736,0.001,15.013
14,1.1408025101379111,1.1799735938891387,0.5726495726495726,0.4969828550375663,0.5444642490235195,0.001,14.307
15,1.1274190655461065,1.133552447407164,0.5470085470085471,0.4889518851328864,0.5255693608282397,0.001,14.235
16,1.1279974690190069,1.0284813864108844,0.6495726495726496,0.560466772352234,0.6165221084686291,0.001,14.379
17,1.155077529836584,1.0505730963160849,0.6239316239316239,0.5881605081326632,0.6332543578400651,0.001,14.272
18,1.09971898705871,0.9446665336433638,0.6752136752136753,0.6132568497893575,0.6632063040731772,0.001,14.186
19,1.0718243793204978,0.8965042880457691,0.6752136752136753,0.6049896853851713,0.644120184983729,0.001,14.208
20,1.054132874806722,0.9050205128315167,0.7264957264957265,0.6971808384851862,0.7190635451505016,0.001,14.254
21,1.0318091794296547,1.1491519031871078,0.5555555555555556,0.4996522408475627,0.5480292162795136,0.001,14.276
22,1.0517293311931468,1.0715352684004693,0.6495726495726496,0.5758303321328532,0.6027305070614702,0.001,14.235
23,1.052522027934039,1.0888498275198488,0.5726495726495726,0.5495578603136743,0.5615135245725585,0.001,14.387
24,1.0119942753403275,0.8980276596087676,0.6837606837606838,0.6348509582205234,0.6627489474479441,0.001,13.945
25,1.0440426782325463,1.0399764782597876,0.6324786324786325,0.5506737960280353,0.612703152188396,0.001,13.518
26,1.0000553060460973,0.9039938052495321,0.6581196581196581,0.6515203332918791,0.6818735426806563,0.001,13.486
27,1.0385470544850384,0.928673319836967,0.6923076923076923,0.6259970818794348,0.6740496152260858,0.001,14.198
28,0.9447029466982241,1.5109339432838635,0.4188034188034188,0.3414302180021152,0.36896677437956826,0.0005,16.042
29,0.9419581907766836,0.8072606126467387,0.717948717948718,0.6941233434134043,0.7222519867862356,0.0005,14.515
30,0.945142474880925,0.8474976861069345,0.717948717948718,0.6761467753533347,0.7085851219108693,0.0005,14.363
31,0.9039204796155293,0.8369787844837221,0.7008547008547008,0.6742004859469398,0.6962734807001946,0.0005,14.267
32,0.9233335605374089,0.8059153742769845,0.7606837606837606,0.732248506159631,0.7585214790221926,0.0005,14.441
33,0.9311385022269355,0.987338823131007,0.5811965811965812,0.5368321469780443,0.5590731552425277,0.0005,14.3
34,0.8883781795148497,0.8060509297582839,0.7008547008547008,0.664688900903561,0.6993338167767932,0.0005,13.833
35,0.8855561993740223,0.8130078347574952,0.7350427350427351,0.6871406790694486,0.7230926923032998,0.0005,13.14
36,0.8603564182917277,0.812272258548655,0.7350427350427351,0.7004745666382495,0.7305907126878993,0.0005,13.117
37,0.887584756038807,0.791305443415275,0.7606837606837606,0.7228246219622948,0.7535261300483052,0.0005,13.282
38,0.89338688188129,0.7830413897068073,0.6923076923076923,0.6429151658562463,0.6835805497091708,0.0005,13.287
39,0.9017977087586014,0.8874880233381548,0.6923076923076923,0.6577777777777777,0.6916151654613194,0.0005,13.123
40,0.8855946002183137,0.9311442110273573,0.6666666666666666,0.6209270023920839,0.6539040725807806,0.00025,13.232
41,0.8612170281233611,0.7308857188774989,0.7863247863247863,0.7554908054908053,0.782370715704049,0.00025,13.216
42,0.821651181909773,0.8209622622045696,0.7008547008547008,0.667124880495556,0.6945634928841227,0.00025,13.231
43,0.7998100898883961,0.725009151503571,0.7692307692307693,0.7293041185585046,0.7650460159457011,0.00025,13.328
