,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,13,2,1,2,0,1
Clean,3,22,1,0,1,0
Dusty,4,1,20,0,0,1
Electrical-damage,1,1,0,10,1,0
Physical-Damage,2,0,0,0,7,1
Snow-Covered,1,0,0,0,0,21
