,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,12,3,1,2,0,1
Clean,2,23,1,0,1,0
Dusty,0,2,22,0,1,1
Electrical-damage,1,0,0,12,0,0
Physical-Damage,2,0,1,1,5,1
Snow-Covered,1,0,0,0,0,21
