arm,seed,best_epoch,val_macro_f1,val_accuracy,val_weighted_f1,val_loss,epochs_ran,stopped_early,total_time_seconds,f1_Bird-drop,precision_Bird-drop,recall_Bird-drop,f1_Clean,precision_Clean,recall_Clean,f1_Dusty,precision_Dusty,recall_Dusty,f1_Electrical-damage,precision_Electrical-damage,recall_Electrical-damage,f1_Physical-Damage,precision_Physical-Damage,recall_Physical-Damage,f1_Snow-Covered,precision_Snow-Covered,recall_Snow-Covered
baseline,42,68,0.7843631687621458,0.811965811965812,0.8072622364182467,0.7030144453558147,83,True,1128.68,0.6486486486486487,0.6666666666666666,0.631578947368421,0.8363636363636363,0.8214285714285714,0.8518518518518519,0.8627450980392157,0.88,0.8461538461538461,0.8571428571428571,0.8,0.9230769230769231,0.5882352941176471,0.7142857142857143,0.5,0.9130434782608695,0.875,0.9545454545454546
baseline,123,27,0.7188798683315133,0.7606837606837606,0.7555291796567969,0.7898696976849157,42,True,581.37,0.6190476190476191,0.5652173913043478,0.6842105263157895,0.8135593220338984,0.75,0.8888888888888888,0.8235294117647058,0.84,0.8076923076923077,0.8,0.8333333333333334,0.7692307692307693,0.4,0.6,0.3,0.8571428571428571,0.9,0.8181818181818182
baseline,456,43,0.7855166021004529,0.7948717948717948,0.7988180533522149,0.7314581988204238,58,True,822.28,0.5909090909090909,0.52,0.6842105263157895,0.8163265306122449,0.9090909090909091,0.7407407407407407,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.88,0.9166666666666666,0.8461538461538461,0.6666666666666666,0.75,0.6,0.9130434782608695,0.875,0.9545454545454546
