,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,13,2,2,1,0,1
Clean,3,20,2,0,1,1
Dusty,3,0,22,0,0,1
Electrical-damage,1,0,0,11,1,0
Physical-Damage,4,0,0,0,6,0
Snow-Covered,1,0,0,0,0,21
