,Bird-drop,Clean,Dusty,Electrical-damage,Physical-Damage,Snow-Covered
Bird-drop,12,2,2,2,0,1
Clean,2,23,1,0,0,1
Dusty,1,1,22,0,0,2
Electrical-damage,0,1,0,11,1,0
Physical-Damage,2,0,0,0,7,1
Snow-Covered,0,1,0,0,0,21
